127.0.0.1 - - [30/Dec/2022:11:21:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:21:06 +0530] "GET /JspMvcApp/ HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:21:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:21:10 +0530] "GET /JspMvcApp/user_reg_form.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:21:12 +0530] "GET /JspMvcApp/user_add_form.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:21:58 +0530] "GET /JspMvcApp/ HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:22:11 +0530] "GET /JspMvcApp/user_login.jsp?uname=parag&upass=parag122 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:22:12 +0530] "GET /JspMvcApp/loggedIn.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:22:12 +0530] "GET /JspMvcApp/images/null HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:22:21 +0530] "GET /JspMvcApp/user_upload_form.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:22:53 +0530] "POST /JspMvcApp/uploadServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:22:53 +0530] "GET /JspMvcApp/loggedIn.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:22:53 +0530] "GET /JspMvcApp/images/null HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:22:56 +0530] "GET /JspMvcApp/loggedIn.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:22:56 +0530] "GET /JspMvcApp/images/null HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:22:59 +0530] "GET /JspMvcApp/user_upload_form.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:23:32 +0530] "POST /JspMvcApp/uploadServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:23:32 +0530] "GET /JspMvcApp/loggedIn.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:23:32 +0530] "GET /JspMvcApp/images/null HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:24:57 +0530] "GET /JspMvcApp/expense_add_form.jsp HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:25:19 +0530] "GET /JspMvcApp/expense_add.jsp?item=towel&price=100&quantity=50&edate=2023%2F09%2F01 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:25:19 +0530] "GET /JspMvcApp/expense_add_form.jsp HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:25:23 +0530] "GET /JspMvcApp/loggedIn.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:25:26 +0530] "GET /JspMvcApp/expense_list.jsp HTTP/1.1" 200 1722
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:25:33 +0530] "GET /JspMvcApp/loggedIn.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:31:40 +0530] "GET /JspMvcApp/user_upload_form.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:31:41 +0530] "GET /JspMvcApp/loggedIn.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:31:43 +0530] "GET /JspMvcApp/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:11:31:43 +0530] "GET /JspMvcApp/user_add_form.jsp HTTP/1.1" 200 424
